#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
01,336,22606,PATRIMONI,8000.0,0.0,8000.0,0.0
01,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA-AM,5040.0,0.0,5040.0,1285.2
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,152953.0,0.0,152953.0,23808.78
01,912,48302,APORTACIÓ AL GRUP POLÍTIC PDeCAT,4320.0,0.0,4320.0,0.0
01,912,48303,APORTACIÓ AL GP.. I P CATALUNYA PELS  VERDS ESQUERRA ALT.ENT,0.0,0.0,0.0,0.0
01,912,48304,APORTACIÓ AL GRUP POLÍTIC POLINYÀ EN COMÚ PODEM,4320.0,0.0,4320.0,0.0
01,912,21400,REPARAC. MANTEN. MATERIAL TRANSPORT,0.0,0.0,0.0,0.0
01,912,48308,APORTACIÓ AL GRUP POLINYÀ EN COMÚ PODEM,0.0,0.0,0.0,1101.6
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300.0,0.0,300.0,0.0
01,912,48307,APORTACIÓ AL GRUP POLÍTIC PARTIT DEMÒCRATA EUPEU CATALÀ,0.0,0.0,0.0,1101.6
01,912,22199,ALTRES SUBMINISTRAMENTS,0.0,0.0,0.0,0.0
01,912,48300,APORTACIO A GRUPS POLITICS,0.0,0.0,0.0,0.0
01,912,48301,APORTACIO AL GRUP POLÍTIC PSC-CP,10080.0,0.0,10080.0,2570.4
01,912,23100,LOCOMOCIÓ MENBRES ÒRGANS DE GOVERN,500.0,0.0,500.0,0.0
01,912,22103,COMBUSTIBLE VEHICLE PRESIDÈNCIA,1000.0,0.0,1000.0,0.0
01,912,22601,DESPESES DIVERSES,7000.0,0.0,7000.0,1563.1
01,912,48305,APORTACIÓ AL GRUP POLÍTIC PARTIT POPULAR,0.0,0.0,0.0,0.0
01,912,23300,ALTRES INDEMNITZACIONS,20000.0,0.0,20000.0,2673.6
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,53691.0,0.0,53691.0,8982.36
01,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,42316.0,0.0,42316.0,5135.61
01,920,12100,COMPLEMENT DE DESTINACIÓ,45364.0,0.0,45364.0,9104.84
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,21455.0,0.0,21455.0,4825.14
01,920,14300,ALTRE PERSONAL ATIPIC,0.0,0.0,0.0,0.0
01,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,27278.0,0.0,27278.0,3951.08
01,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,28362.0,0.0,28362.0,3796.38
01,920,12101,COMPLEMENT ESPECÍFIC,148847.0,0.0,148847.0,30107.53
01,920,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,38000.0,0.0,38000.0,8625.81
01,920,12006,TRIENNIS,17108.0,0.0,17108.0,3037.77
01,920,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,15928.0,0.0,15928.0,3716.04
01,920,15100,GRATIFICACIONS,2000.0,0.0,2000.0,0.0
01,920,15000,PRODUCTIVITAT,6000.0,0.0,6000.0,0.0
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,98442.0,0.0,98442.0,21511.44
01,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,14006.0,0.0,14006.0,3213.18
02,011,31000,INTERESSOS PRÉSTEC DEL SECTOR PRIVAT I OP. TRESORERIA,25000.0,0.0,25000.0,0.0
02,011,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,108000.0,0.0,108000.0,0.0
02,011,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,570000.0,0.0,570000.0,8004.37
02,221,16204,ACCIÓ SOCIAL PERSONAL,39940.0,0.0,39940.0,32710.63
02,221,16200,FORMACIO I PERFECCIONAMENT PERSONAL,10000.0,5399.4,15399.4,788.4
02,221,16106,INDEMNITZACIONS,0.0,0.0,0.0,0.0
02,920,22602,PUBLICITAT I PROPAGANDA,5000.0,0.0,5000.0,0.0
02,920,20500,LLOGUER DE MOBILIARI I ESTRIS,0.0,0.0,0.0,0.0
02,920,15000,PRODUCTIVITAT,10800.0,0.0,10800.0,0.0
02,920,12101,COMPLEMENT ESPECÍFIC,251312.0,0.0,251312.0,59141.42
02,920,22706,TREBALLS TECNICS REALITZATS ALTRES EMPRESES,31620.0,18690.0,50310.0,2040.19
02,920,23020,DIETES PERSONAL NO DIRECTIU,2000.0,0.0,2000.0,789.56
02,920,16000,SEGURETAT SOCIAL PERSONAL SERVEIS GENERALS,160531.0,0.0,160531.0,37054.94
02,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,46941.0,0.0,46941.0,9639.54
02,920,22001,"PREMSA, REVISTES, LLIBRES I ALTRES PUBLICACIONS",9418.0,0.0,9418.0,6929.87
02,920,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,27929.0,0.0,27929.0,8031.47
02,920,22002,MATERIAL INFORMÀTIC NO INVENTARIABLE,7000.0,0.0,7000.0,1520.59
02,920,12100,COMPLEMENT DE DESTINACIÓ,93143.0,0.0,93143.0,22874.61
02,920,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,39525.0,0.0,39525.0,8859.09
02,920,22199,ALTRES SUBMINISTRAMENTS,500.0,30.29,530.29,273.94
02,920,21500,MANTENIMENT MOBILIARI I ESTRIS,5000.0,523.69,5523.69,990.32
