#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,12000,,12000.0,
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,3700000,,3700000.0,3503559.1
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,650000,,650000.0,627232.83
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,1000000,,1000000.0,779304.38
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,1510000,,1510000.0,113133.38
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",340000,,340000.0,187148.77
30200,RECOLLIDA ESCOMBRARIES,348000,,348000.0,7476.25
30500,CEMENTIRI MUNICIPAL,15000,,15000.0,4126.35
31100,ACTIVITATS SERVEIS SOCIALS,3000,,3000.0,1075.0
31200,ACTIVITATS ENSENYAMENT,18400,,18400.0,13418.92
31201,PLA DE FORMACIÓ,5000,,5000.0,709.0
31301,ACTIVITATS ESPORTIVES,1000,,1000.0,153.0
31306,INSTAL·LACIONS ESPORTIVES,1000,,1000.0,
31400,ACTIVITATS CULTURALS,4000,,4000.0,
31500,ACTIVITATS JUVENILS,44000,,44000.0,36828.56
31600,ACTIVITATS PROMOCIÓ ECONÒMICA,2000,,2000.0,
31903,RECOLLIDA ANIMALS DOMÈSTICS,2000,,2000.0,901.25
32100,LLICÈNCIES URBANÍSTIQUES,110000,,110000.0,62986.47
32500,SERVEIS ADMINISTRATIUS,8000,,8000.0,10127.75
32600,TAXA PER RETIRADA DE VEHICLES,14000,,14000.0,6038.0
32700,LLICÈNCIES AUTOTAXIS,1000,,1000.0,
32800,LLICÈNCIES OBERTURA ESTABLIMENTS,110000,,110000.0,69232.36
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,85000,,85000.0,87434.56
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,350000,,350000.0,121169.72
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,7000,,7000.0,2395.14
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,81000,,81000.0,28050.23
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",40000,,40000.0,17086.12
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,9000,,9000.0,304.9
34201,ESCOLA BRESSOL,214000,,214000.0,121315.25
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,12000,,12000.0,19123.39
39100,MULTES PER INFRANCCIONS URBANÍSTIQUES,40000,,40000.0,275.0
39120,MULTES TRANSIT,50000,,50000.0,18123.64
39190,ALTRES MULTES I SANCIONS,5000,,5000.0,17226.25
39200,RECÀRREC D'EXTEMPORANEÏTAT,6000,,6000.0,6066.25
39300,INTERESSOS DEUTES TRIBUTÀRIES I ALTRES,70000,,70000.0,16751.82
39901,ALTRES INGRESSOS DIVERSOS,15000,,15000.0,2081.68
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,40000,,40000.0,21565.91
39904,GESTIÓ RECOLLIDA RESIDUS DEIXALLERIA,15000,,15000.0,10169.42
39906,RECLAMACIÓ DANYS,0,6410.11,6410.11,2193.14
42000,PARTICIPACIONS EN ELS TRIBUTS DE L'ESTAT,1555000,,1555000.0,695794.37
45000,FONS DE COOPERACIÓ,120000,,120000.0,
45002,CONVENIS DE MANTENIMENT DE SERVEIS SOCIALS,25600,,25600.0,
45080,DE L'ADMINISTRACIÓ GENERAL DE LA COMUNITAT AUTÒNOMA,112166,,112166.0,
45100,TRANSFERÈNCIES D'ORGANISMES AUTÒNOMS DE LA COM.AUTÒNOMA,20000,17840.7,37840.7,
46100,ALTRES TRANSFERÈNCIES,367700,156074.09,523774.09,177584.96
46500,ALTRES TRANSFERÈNCIES,135000,,135000.0,
47000,TRANSFERÈNCIES CORRENTS D'EMPRESES,19000,,19000.0,150.0
52000,INTERESSOS DE CAIXES I BANCS,8139,,8139.0,4615.92
54100,ARRENDAMENT FINQUES,31200,,31200.0,15600.0
55000,CONCESSIONS ADMINISTRATIVES,48000,,48000.0,38674.57
76100,DE DIPUTACIONS,0,9904.5,9904.5,
87000,PER A DESPESES GENERALS,0,798786.15,798786.15,
87010,PER A DESPESES AMB FINANÇAMENT AFECTAT,0,2993774.22,2993774.22,
91100,PRÉSTECS A LL/T D'ENS DEL SECTOR PÚBLIC,83000,,83000.0,43097.28
91301,PRÉSTEC REBUTS DE FORA DEL SECTOR PÚBLIC,166500,311000.0,477500.0,
#,,11628705,4293789.77,15922494.77,6890300.89
