#Data,Import,Orgànica,Àrea CA,Funcional,Econòmica,Nom terc.,Text lliure,Document
2021-01-26,3.0,02,Serveis generals,,,"BANCO BILBAO VIZCAYA ARGENTARIA,S.A.",COMISSIONS MANTENIMENT,
2021-01-28,387.2,02,Serveis generals,,,"ABAST SYSTEMS, SA",ARRENDAMENT FINANCER 20 PC'S DEL 1/12/20 AL 31/12/20  -  CUOTA: 54/60,20009062
2021-01-28,217.8,20,Promoció econòmica,,,"ACTIVA LA CULTURA & LA RESIDUAL, SL",ACTUACIÓ FIRA DE NADAL,20/27
2021-01-28,217.8,18,Serveis de manteniment d'edificis i inversions,,,"ALARCÓN ANAYA, RAFAEL - CERRAJERIA ANAYA",REPARACIO BARANA ESCOLA PERE CALDERS,2020-0074
2021-01-28,330.43,08,Cultura,,,"ALMACENES GENERALES DEL VALLES, SA",ENMAGATZEMATGE OCTUBRE 2020,8
2021-01-28,283.14,08,Cultura,,,"ALMACENES GENERALES DEL VALLES, SA",ENMAGATZEMATGE NOVEMBRE 2020,9
2021-01-28,26498.44,05,Obres,,,"ASFALTOS AUGUSTA, SL",OBRES DEXECUCIO ELEMENTS REDUCTORS  VELOCITAT C/ JOAN MIRO PSG. SANLLEY,A      173
2021-01-28,8.89,02,Serveis generals,,,"BANCO BILBAO VIZCAYA ARGENTARIA,S.A.",ARREND. FINANCER 3 PC'S TERRITORI  -  AL VTO. DE FECHA 10-12-2020,200992A00527649
2021-01-28,91.66,02,Serveis generals,,,"BANCO BILBAO VIZCAYA ARGENTARIA,S.A.",ARREND. FINANCER 3 PC'S TERRITORI  -  AL VTO. DE FECHA 10-12-2020,200992A00527649
2021-01-28,66.01,02,Serveis generals,,,"BANCO BILBAO VIZCAYA ARGENTARIA,S.A.",ARRENDAMENT FINANCER 19 PC'S DE   27/12/20,200992A00551018
2021-01-28,454.48,02,Serveis generals,,,"BANCO BILBAO VIZCAYA ARGENTARIA,S.A.",ARRENDAMENT FINANCER 19 PC'S DE   27/12/20,200992A00551018
2021-01-28,296.45,18,Serveis de manteniment d'edificis i inversions,,,"BARROSO FERNÁNDEZ, BALDOMERO - BALDO TANCAMENTS",VIDRE PART BAIXA TAULA POLICIA LOCAL,20120
2021-01-28,302.5,18,Serveis de manteniment d'edificis i inversions,,,"CABALLE SALAS, ESTEVE - VERD ART AMB FLOR",MANTENIMENT ZONES VERDES DESEMBRE 2020,4750R
2021-01-28,416.72,18,Serveis de manteniment d'edificis i inversions,,,"CALSI, S.L.",MATERIALS BRIGADA,004007272
2021-01-28,2.72,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIALS,200346
2021-01-28,43.17,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIALS,200348
2021-01-28,273.17,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIALS,200350
2021-01-28,26.57,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIALS,200349
2021-01-28,39.33,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIALS,200352
2021-01-28,19.24,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIALS,200356
2021-01-28,5.97,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIALS,200358
2021-01-28,108.07,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIALS,200351
2021-01-28,605.0,09,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",SERVEI FOTOGRAFIC DIFERENTS EVENTS FRES. 3535 i 3536,MULTIFAC
2021-01-28,272.25,21,Gent gran,,,"CAPEL SANCHEZ, NOEMI",DISSENY I PREIMPRESSIÓ NADALA SENIORS 1C + PRODUCCIÓ 1.000 UNIT NADALES,20228N
2021-01-28,302.5,15,Salut i consum ,,,"CARRASCO IBAÑEZ, JAVIER",ELIMINACIO NIU AVISPES ASIATIQUES,022-20
2021-01-28,24.44,06,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.","MANT. CLIMA ( EL ROURE,AAPP, CAMP FUTBOL, GINESTA) DESEMBRE 2020",182020389
2021-01-28,70.81,06,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.","MANT. CLIMA ( EL ROURE,AAPP, CAMP FUTBOL, GINESTA) DESEMBRE 2020",182020389
2021-01-28,133.79,06,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.","MANT. CLIMA ( EL ROURE,AAPP, CAMP FUTBOL, GINESTA) DESEMBRE 2020",182020389
2021-01-28,242.88,06,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.","MANT. CLIMA ( EL ROURE,AAPP, CAMP FUTBOL, GINESTA) DESEMBRE 2020",182020389
