#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
01,912,48301,APORTACIO AL GRUP POLÍTIC CANDIDATURA DE PROGRÉS,6449.0,0.0,6449.0,1612.05
01,912,48303,APORTACIÓ AL GP.. I P CATALUNYA PELS  VERDS ESQUERRA ALT.ENT,4289.0,0.0,4289.0,1072.05
01,912,48305,APORTACIÓ AL GRUP POLÍTIC PARTIT POPULAR,4289.0,0.0,4289.0,1072.05
01,912,22199,Altres subministraments.,0.0,0.0,0.0,0.0
01,912,48302,APORTACIÓ AL GRUP POLÍTIC  CONVERGÈNCIA I UNIÓ,6449.0,0.0,6449.0,1612.05
01,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA DE CATALUNYA,4289.0,0.0,4289.0,1072.05
01,912,22200,SERVEIS DE TELECOMUNICACIONS,0.0,0.0,0.0,0.0
01,912,23100,LOCOMOCIÓ MEMBRES ÒRGANS DE GOVERN,500.0,0.0,500.0,0.0
01,912,22601,DESPESES DIVERSES,6000.0,9500.0,15500.0,4633.55
01,912,23300,ALTRES INDEMNITZACIONS,19000.0,0.0,19000.0,4698.0
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,38561.0,0.0,38561.0,9639.31
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,118468.0,0.0,118468.0,33860.32
01,912,48300,APORTACIO A GRUPS POLITICS,0.0,0.0,0.0,0.0
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300.0,0.0,300.0,0.0
01,912,48304,APORTACIO AL GP ASOC.GUANYEM/GANEMOS POLINYÀ SI SE PUEDE,5009.0,0.0,5009.0,1252.05
01,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,25922.0,0.0,25922.0,7695.94
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,20168.0,0.0,20168.0,6008.16
01,920,12101,COMPLEMENT ESPECÍFIC,124769.0,0.0,124769.0,38029.75
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,85667.0,0.0,85667.0,22950.6
01,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,40200.0,0.0,40200.0,12057.04
