#Data,Import,Orgánica,Area,Funcional,Económica,Nom terc.,Text lliure,Document
2016-01-15,1800.0,08,Cultura,338,22611,AMICS DE SANT ANTONI,COL·LABORACIÓ CAVALCADA REIS ANY 2016,0014
2016-01-15,305.35,02,Serveis generals,920,64800,"ABAST SYSTEMS, SA",QUOTA RENTING PC'S PERIODE 01/11/2015-30/11/15,15003115
2016-01-15,0.18,02,Serveis generals,920,35800,"ABAST SYSTEMS, SA",QUOTA RENTING PC'S PERIODE 01/11/2015-30/11/15,15003115
2016-01-15,12.2,02,Serveis generals,920,35800,"ABAST SYSTEMS, SA",QUOTA RENTING PC'S PERIODE 01/11/2015-30/11/15,15003115
2016-01-15,143.08,02,Serveis generals,920,64800,"ABAST SYSTEMS, SA",QUOTA RENTING PC'S AL PERIODE 01/11/15-30/11/15,15003114
2016-01-15,20.91,02,Serveis generals,920,35800,"ABAST SYSTEMS, SA",QUOTA RENTING PC'S AL PERIODE 01/11/15-30/11/15,15003114
2016-01-15,2589.4,04,Urbanisme,336,61900,"TRANSPORTES Y EXCAVACIONES RIBERA, S.A.",GESTIÓ RUNA REHABILITACIÓ TORRE CAN GAVARRA,Emit- 48697
2016-01-22,125.0,08,Cultura,338,22611,AMPA ESCOLA PERE CALDERS,PARTICIPACIÓ CAVALCADA DE REIS 2016,
2016-01-22,125.0,08,Cultura,338,22611,ATLETICO POLINYA,PARTICIPACIÓ CAVALCADA DE REIS 2016,
2016-01-22,125.0,08,Cultura,338,22611,CLUB CICLISTA POLINYÀ,PARTICIPACIÓ CAVALCADA DE REIS 2016,
2016-01-22,125.0,08,Cultura,338,22611,CLUB PATÍ POLINYÀ,PARTICIPACIÓ CAVALCADA DE REIS 2016,
2016-01-22,80.0,18,Serveis de manteniment d'edificis i inversions,231,21200,"COMUNITAT DE PROPIETARIS C/PIRINEOS, 8",MANTENIMENT COMUNITAT LOCAL C/ PIRINEUS 1ER TRIMESTRE ANY 2016,
